"createAt","temperature","ON/OFF"
232.0,20.885,"OFF"
233.0,20.84,"OFF"
234.0,20.795,"OFF"
235.0,20.75,"OFF"
236.0,20.705,"OFF"
237.0,20.66,"OFF"
238.0,20.615,"OFF"
239.0,20.57,"OFF"
240.0,20.525,"OFF"
241.0,20.48,"OFF"
242.0,20.435,"OFF"
243.0,20.39,"OFF"
244.0,20.345,"OFF"
245.0,20.3,"OFF"
246.0,20.255,"OFF"
247.0,20.21,"OFF"
248.0,20.165,"OFF"
249.0,20.12,"OFF"
250.0,20.075,"OFF"
251.0,20.03,"OFF"
252.0,19.985,"OFF"
253.0,19.94,"OFF"
254.0,19.895,"OFF"
255.0,19.85,"ON"
256.0,19.805,"ON"
257.0,19.76,"ON"
258.0,19.715,"ON"
259.0,19.67,"ON"
260.0,19.625,"ON"
261.0,19.6,"ON"
262.0,19.595,"ON"
263.0,19.61,"ON"
264.0,19.645,"ON"
265.0,19.7,"ON"
266.0,19.775,"ON"
267.0,19.85,"ON"
268.0,19.925,"ON"
269.0,20.0,"ON"
270.0,20.075,"ON"
271.0,20.15,"ON"
272.0,20.225,"OFF"
273.0,20.3,"OFF"
274.0,20.375,"OFF"
275.0,20.45,"OFF"
276.0,20.525,"OFF"
277.0,20.6,"OFF"
278.0,20.67,"OFF"
279.0,20.735,"OFF"
280.0,20.795,"OFF"
281.0,20.85,"OFF"
282.0,20.9,"OFF"
283.0,20.945,"OFF"
284.0,20.985,"OFF"
285.0,21.02,"OFF"
286.0,21.05,"OFF"
287.0,21.075,"OFF"
288.0,21.095,"OFF"
289.0,21.11,"OFF"
290.0,21.12,"OFF"
291.0,21.125,"OFF"
292.0,21.125,"OFF"
293.0,21.12,"OFF"
294.0,21.11,"OFF"
295.0,21.095,"OFF"
296.0,21.075,"OFF"
297.0,21.05,"OFF"
298.0,21.02,"OFF"
299.0,20.985,"OFF"
300.0,20.945,"OFF"
301.0,20.9,"OFF"
302.0,20.855,"OFF"
303.0,20.81,"OFF"
304.0,20.765,"OFF"
305.0,20.72,"OFF"
306.0,20.675,"OFF"
307.0,20.63,"OFF"
308.0,20.585,"OFF"
309.0,20.54,"OFF"
310.0,20.495,"OFF"
311.0,20.45,"OFF"
312.0,20.405,"OFF"
313.0,20.36,"OFF"
314.0,20.315,"OFF"
315.0,20.27,"OFF"
316.0,20.225,"OFF"
317.0,20.18,"OFF"
318.0,20.135,"OFF"
319.0,20.09,"OFF"
320.0,20.045,"OFF"
321.0,20.0,"OFF"
322.0,19.955,"OFF"
323.0,19.91,"OFF"
324.0,19.865,"OFF"
325.0,19.82,"ON"
326.0,19.775,"ON"
327.0,19.73,"ON"
328.0,19.685,"ON"
329.0,19.64,"ON"
330.0,19.595,"ON"
331.0,19.57,"ON"
332.0,19.565,"ON"
333.0,19.58,"ON"
334.0,19.615,"ON"
335.0,19.67,"ON"
336.0,19.745,"ON"
337.0,19.82,"ON"
338.0,19.895,"ON"
339.0,19.97,"ON"
340.0,20.045,"ON"
341.0,20.12,"ON"
342.0,20.195,"OFF"
343.0,20.27,"OFF"
344.0,20.345,"OFF"
345.0,20.42,"OFF"
346.0,20.495,"OFF"
347.0,20.57,"OFF"
348.0,20.64,"OFF"
349.0,20.705,"OFF"
350.0,20.765,"OFF"
351.0,20.82,"OFF"
352.0,20.87,"OFF"
353.0,20.915,"OFF"
354.0,20.955,"OFF"
355.0,20.99,"OFF"
356.0,21.02,"OFF"
357.0,21.045,"OFF"
358.0,21.065,"OFF"
359.0,21.08,"OFF"
360.0,21.09,"OFF"
361.0,21.095,"OFF"
